time,X
516.6656164995,524940.625
516.6860505308,524991.375
516.706484662,525010.8125
516.7269188932,524966.3125
516.7473530242,524888.25
516.767787055,525006.0625
516.7882212859,524860.5
516.8086554165,524882.75
516.8290894471,524807.0625
516.8495236776,524886
516.8699578079,524917.375
516.8903918382,524926.875
516.9108260683,524866.6875
516.9312600984,524947.3125
516.9516943283,524827.1875
516.9721284581,524901.1875
516.9925624879,524873.5625
517.0334308469,524904.625
517.0538648764,524947.1875
517.0742991056,524861.75
517.0947332348,524918.75
517.1151673638,524861.4375
517.1356014928,524875.8125
517.1560356217,524853.0625
517.1764697504,524890.0625
517.1969038791,524815.3125
517.2173380076,524837.9375
517.237772136,524804.125
517.2582063643,524865.3125
517.2786403925,524804.0625
517.2990746205,524869.5625
517.3195087486,524805.0625
517.3399427764,524856.625
517.3603770041,524782
517.3808111319,524882.25
517.4012451593,524793.125
517.4216793868,524803.25
517.4421135142,524836
517.4625475413,524775.5
517.4829817684,524783.5625
517.5034158954,524802
517.5238499223,524714.0625
517.5442841491,524768.5
517.5647181758,524770.75
517.5851523023,524775.5625
517.6055865289,524765.0625
517.6260205552,524679.5625
517.6464546814,524680.5
517.6668889075,524633.5
517.6873230335,524663.75
517.7077571594,524701.75
517.7281912852,524752.0625
517.7690595365,524789.125
517.789493662,524705.625
517.8099277872,524712.5
517.8303620125,524666.3125
517.8507960377,524738.0625
517.8712301627,524673.75
517.8916643876,524733.25
517.9120984124,524704.3125
517.9325325371,524711.9375
517.9529667617,524657.3125
517.9734007861,524693.375
517.9938349104,524667.6875
518.0142691348,524710.8125
518.0347031589,524652.5
518.0551373829,524666.625
518.0755715068,524663.3125
518.0960056306,524628
518.1164397542,524654.8125
518.1368738779,524628.9375
518.1573080014,524636.5
518.1777421247,524697.125
518.198176248,524580.9375
518.2186103711,524577.25
518.2390444941,524637.3125
518.259478617,524596.5
518.2799127398,524607.5
518.3003468625,524585.375
518.3207809851,524593.25
518.3412150076,524555.3125
518.3616492299,524676.8125
518.3820833573,524591.375
518.4025175796,524646.0625
518.4229516016,524550
518.4433857234,524590.875
518.4638199452,524466.5
518.4842539669,524532.25
518.5046880884,524468.125
518.52512231,524482.6875
518.5455563313,524523.1875
518.5864246736,524532.3125
518.6068586946,524549.75
518.6272928156,524533.0625
518.6477270363,524562.5
518.668161157,524538.125
518.6885951775,524513.625
518.709029398,524513.3125
518.7294635183,524533.3125
518.7498975385,524548.625
518.7907658787,524499.9375
518.8112000985,524493.9375
518.8316341183,524534.9375
518.852068238,524506.75
518.8725024575,524492.875
518.892936477,524472.75
518.9133705962,524510
518.9338047154,524426.0625
518.9542388345,524512.6875
518.9746728535,524473.4375
518.9951070723,524496.3125
519.0155411911,524451.75
519.0359753098,524495.6875
519.0564094283,524424.5625
519.0768435467,524508.3125
519.097277665,524389.25
519.1177117832,524452.3125
519.1381459012,524436.9375
519.1585801192,524382.375
519.1790142371,524402
519.1994482548,524400.4375
519.2198824724,524400.9375
519.2403165898,524381
519.2607506073,524408
519.2811848245,524354.5625
519.3016189417,524337.8125
519.3220529588,524310.25
519.3424871757,524335.9375
519.3629212925,524282.28125
519.3833553092,524403.1875
519.4037895257,524315.5
519.4242236423,524385.125
519.4446576586,524333.0625
519.4650918749,524391.75
519.4855259909,524291.375
519.505960207,524362.9375
519.5263942228,524311.1875
519.5468283387,524334.1875
519.5672625543,524328.3125
519.5876965699,524293.0625
519.6081306854,524330.0625
519.6285648006,524275.65625
519.6489990159,524320.5625
519.6694330309,524262.09375
519.6898671459,524329.125
519.7103012608,524221.59375
519.7307353755,524283.03125
519.7511695902,524245
519.7716036047,524309.375
519.7920377191,524252.21875
519.8124719334,524310.4375
519.8329059476,524300.625
519.8533400616,524279.28125
519.8737742755,524223.125
519.8942082894,524239.8125
519.914642503,524227.53125
519.9350766166,524299.375
519.9555106301,524223.96875
519.9759448435,524202.125
519.9963789567,524204.5625
520.0168130699,524230.4375
520.0372471829,524217.34375
520.0576812958,524181.125
520.0781154085,524246.4375
520.0985495212,524161.75
520.1189836338,524182.28125
520.1394177462,524055.28125
520.1598519585,524048.90625
520.1802859707,524040.5625
520.2007200828,524131.875
520.2211542948,524178.96875
520.2415883066,524169.0625
520.2620225183,524168.21875
520.28245663,524195.65625
520.3028906414,524132.65625
520.3233248528,524133.84375
520.3437588641,524141.25
520.3641929753,524088.75
520.3846271862,524134.84375
520.4050611972,524104.78125
520.425495308,524119.78125
520.4459295186,524060.53125
520.4663635292,524112.625
520.4867976397,524091.5
520.5072318499,524129
520.5276658602,524044.8125
520.5480999703,524069.53125
520.5685341802,524037.0625
520.5889682901,524094.84375
520.6094023999,524066.5
520.6298365094,524035.3125
520.650270619,524013.875
520.6707048284,524034.6875
520.6911388376,524079.75
520.7115729468,524027.96875
520.7320071558,524062.78125
